"","term","gene"
"1064","CEROID LIPOFUSCINOSIS, NEURONAL, 8","2055"
"1065","CEROID LIPOFUSCINOSIS, NEURONAL, 8, NORTHERN EPILEPSY VARIANT","2055"
"1066","AU-KLINE SYNDROME","3190"
"1067","CEROID LIPOFUSCINOSIS, NEURONAL, 4B, AUTOSOMAL DOMINANT","80331"
"1068","BLOOD GROUP, GERBICH SYSTEM","2995"
"1069","SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 5","51151"
"1070","ALBINISM, OCULOCUTANEOUS, TYPE IV","51151"
"1071","CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ik","56052"
"1072","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 20","57176"
"1073","SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 5","1439"
"1074","FETAL AKINESIA DEFORMATION SEQUENCE","285489"
"1075","FETAL AKINESIA DEFORMATION SEQUENCE","5913"
"1076","FETAL AKINESIA DEFORMATION SEQUENCE","4593"
"1077","MYASTHENIC SYNDROME, CONGENITAL, 10","285489"
"1078","PSORIATIC ARTHRITIS, SUSCEPTIBILITY TOPSORIATIC ARTHRITIS, SUSCEPTIBILITY TO, 1, INCLUDED","4049"
"1079","PSORIATIC ARTHRITIS, SUSCEPTIBILITY TOPSORIATIC ARTHRITIS, SUSCEPTIBILITY TO, 1, INCLUDED","64127"
"1080","MYOCARDIAL INFARCTION, SUSCEPTIBILITY TOMYOCARDIAL INFARCTION, SUSCEPTIBILITY TO, 1, INCLUDED","4049"
"1081","MYOCARDIAL INFARCTION, SUSCEPTIBILITY TOMYOCARDIAL INFARCTION, SUSCEPTIBILITY TO, 1, INCLUDED","2162"
"1082","MYOCARDIAL INFARCTION, SUSCEPTIBILITY TOMYOCARDIAL INFARCTION, SUSCEPTIBILITY TO, 1, INCLUDED","2155"
"1083","MYOCARDIAL INFARCTION, SUSCEPTIBILITY TOMYOCARDIAL INFARCTION, SUSCEPTIBILITY TO, 1, INCLUDED","3957"
"1084","MYOCARDIAL INFARCTION, SUSCEPTIBILITY TOMYOCARDIAL INFARCTION, SUSCEPTIBILITY TO, 1, INCLUDED","5687"
"1085","MYOCARDIAL INFARCTION, SUSCEPTIBILITY TOMYOCARDIAL INFARCTION, SUSCEPTIBILITY TO, 1, INCLUDED","2099"
"1086","MYOCARDIAL INFARCTION, SUSCEPTIBILITY TOMYOCARDIAL INFARCTION, SUSCEPTIBILITY TO, 1, INCLUDED","4973"
"1087","MYOCARDIAL INFARCTION, SUSCEPTIBILITY TOMYOCARDIAL INFARCTION, SUSCEPTIBILITY TO, 1, INCLUDED","7804"
"1088","MYOCARDIAL INFARCTION, SUSCEPTIBILITY TOMYOCARDIAL INFARCTION, SUSCEPTIBILITY TO, 1, INCLUDED","440823"
"1089","MYOCARDIAL INFARCTION, SUSCEPTIBILITY TOMYOCARDIAL INFARCTION, SUSCEPTIBILITY TO, 1, INCLUDED","2729"
"1090","MYOCARDIAL INFARCTION, SUSCEPTIBILITY TOMYOCARDIAL INFARCTION, SUSCEPTIBILITY TO, 1, INCLUDED","2730"
"1091","MYOCARDIAL INFARCTION, SUSCEPTIBILITY TOMYOCARDIAL INFARCTION, SUSCEPTIBILITY TO, 1, INCLUDED","3690"
"1092","MYOCARDIAL INFARCTION, SUSCEPTIBILITY TOMYOCARDIAL INFARCTION, SUSCEPTIBILITY TO, 1, INCLUDED","7292"
"1093","LEPROSY, SUSCEPTIBILITY TO, 4","4049"
"1094","IMMUNODEFICIENCY, COMMON VARIABLE, 2","23495"
"1095","IMMUNODEFICIENCY, COMMON VARIABLE, 2","930"
"1096","IMMUNODEFICIENCY, COMMON VARIABLE, 2","29851"
"1097","IMMUNODEFICIENCY, COMMON VARIABLE, 2","1380"
"1098","IMMUNODEFICIENCY, COMMON VARIABLE, 2","115650"
"1099","IMMUNOGLOBULIN A DEFICIENCY 2","23495"
"1100","ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 9","204219"
"1101","PORPHYRIA, ACUTE HEPATIC","210"
"1102","XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP A","7507"
"1103","HEMOPHILIA A","2157"
"1104","HYPOTHYROIDISM, THYROIDAL OR ATHYROIDAL, WITH SPIKY HAIR AND CLEFTPALATE","2304"
"1105","THYROID CANCER, NONMEDULLARY, 4","2304"
"1106","MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1","7124"
"1107","MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1","1909"
"1108","MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1","2099"
"1109","ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","5313"
"1110","PYRUVATE KINASE DEFICIENCY OF RED CELLS","5313"
"1111","DEAFNESS, AUTOSOMAL DOMINANT 72","80736"
"1112","ALBINISM, OCULOCUTANEOUS, TYPE II","4948"
"1113","ALBINISM, OCULOCUTANEOUS, TYPE II","4157"
"1114","SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 1","4948"
"1115","SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 1","8924"
"1116","BILE ACID SYNTHESIS DEFECT, CONGENITAL, 4","23600"
"1117","ALPHA-METHYLACYL-CoA RACEMASE DEFICIENCY","23600"
"1118","BARDET-BIEDL SYNDROME 1","91147"
"1119","BARDET-BIEDL SYNDROME 1","585"
"1120","BARDET-BIEDL SYNDROME 1","10806"
"1121","BARDET-BIEDL SYNDROME 1","582"
"1122","BARDET-BIEDL SYNDROME 1","8195"
"1123","BARDET-BIEDL SYNDROME 1","79140"
"1124","BARDET-BIEDL SYNDROME 1","84100"
"1125","COACH SYNDROME","91147"
"1126","COACH SYNDROME","57545"
"1127","COACH SYNDROME","23322"
"1128","MECKEL SYNDROME, TYPE 3","91147"
"1129","JOUBERT SYNDROME 6","91147"
"1130","NEPHRONOPHTHISIS 11","91147"
"1131","BARDET-BIEDL SYNDROME 14","91147"
"1132","BARDET-BIEDL SYNDROME 14","80184"
"1133","CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 4","7026"
"1134","USHER SYNDROME, TYPE IIA","79955"
"1135","USHER SYNDROME, TYPE IIA","7399"
"1136","USHER SYNDROME, TYPE IIC","79955"
"1137","USHER SYNDROME, TYPE IIC","84059"
"1138","DEAFNESS, AUTOSOMAL RECESSIVE 57","79955"
"1139","HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 4","629"
"1140","MACULAR DEGENERATION, AGE-RELATED, 14","629"
"1141","MACULAR DEGENERATION, AGE-RELATED, 14","717"
"1142","COMPLEMENT FACTOR B DEFICIENCY","629"
"1143","PITUITARY ADENOMA 4, ACTH-SECRETING","9101"
"1144","PITUITARY ADENOMA 4, ACTH-SECRETING","9049"
"1145","CEROID LIPOFUSCINOSIS, NEURONAL, 13","8722"
"1146","WINCHESTER SYNDROME","4323"
"1147","HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT","56521"
"1148","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 14","10667"
"1149","SPASTIC PARAPLEGIA 77, AUTOSOMAL RECESSIVE","10667"
"1150","NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 1","80025"
"1151","HYPOPREBETALIPOPROTEINEMIA, ACANTHOCYTOSIS, RETINITIS PIGMENTOSA,AND PALLIDAL DEGENERATION","80025"
"1152","HIRSCHSPRUNG DISEASE, CARDIAC DEFECTS, AND AUTONOMIC DYSFUNCTION","1889"
"1153","SCHUURS-HOEIJMAKERS SYNDROME","55690"
"1154","INFLAMMATORY BOWEL DISEASE 28, AUTOSOMAL RECESSIVE","3587"
"1155","EXOSTOSES, MULTIPLE, TYPE I","2131"
"1156","CHONDROSARCOMA","2131"
"1157","COMPLEMENT COMPONENT 2 DEFICIENCY","717"
"1158","CORONARY HEART DISEASE, SUSCEPTIBILITY TO, 5","8997"
"1159","JOINT LAXITY, SHORT STATURE, AND MYOPIA","64412"
"1160","RHABDOMYOSARCOMA 2","2308"
"1161","RHABDOMYOSARCOMA 2","5081"
"1162","RHABDOMYOSARCOMA 2","5077"
"1163","UNCOMBABLE HAIR SYNDROME 2","7053"
"1164","WARBURG MICRO SYNDROME 4","128637"
"1165","ALZHEIMER DISEASE","323"
"1166","ALZHEIMER DISEASE","4353"
"1167","ALZHEIMER DISEASE","351"
"1168","ALZHEIMER DISEASE","1636"
"1169","ALZHEIMER DISEASE","5328"
"1170","ALZHEIMER DISEASE","22976"
"1171","ALZHEIMER DISEASE","3077"
"1172","ALZHEIMER DISEASE","6653"
"1173","ALZHEIMER DISEASE","2"
"1174","ALZHEIMER DISEASE","4846"
"1175","ALZHEIMER DISEASE","642"
"1176","VON HIPPEL-LINDAU SYNDROME","595"
"1177","VON HIPPEL-LINDAU SYNDROME","7428"
"1178","GLUTAMATE FORMIMINOTRANSFERASE DEFICIENCY","10841"
"1179","MYOPIA 23, AUTOSOMAL RECESSIVE","4043"
"1180","OSTEOGENESIS IMPERFECTA, TYPE V","387733"
"1181","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E","4747"
"1182","CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1F","4747"
"1183","CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE G","4747"
"1184","SLOWED NERVE CONDUCTION VELOCITY, AUTOSOMAL DOMINANT","9639"
"1185","ALAZAMI SYNDROME","51574"
"1186","CONGENITAL HEART DEFECTS, HAMARTOMAS OF TONGUE, AND POLYSYNDACTYLY","51057"
"1187","BARDET-BIEDL SYNDROME 15","51057"
"1188","MICROPHTHALMIA, SYNDROMIC 11","11023"
"1189","CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 8","123624"
"1190","EXOCRINE PANCREATIC INSUFFICIENCY, DYSERYTHROPOIETIC ANEMIA, AND CALVARIALHYPEROSTOSIS","84701"
"1191","PRADER-WILLI SYNDROME","7681"
"1192","PRADER-WILLI SYNDROME","54551"
"1193","PRADER-WILLI SYNDROME","4692"
"1194","PRADER-WILLI SYNDROME","8924"
"1195","PRADER-WILLI SYNDROME","791114"
"1196","PRADER-WILLI SYNDROME","23742"
"1197","PRADER-WILLI SYNDROME","145624"
"1198","PRADER-WILLI SYNDROME","3653"
"1199","PRADER-WILLI SYNDROME","6638"
"1200","PRADER-WILLI SYNDROME","100033413"
"1201","PRADER-WILLI SYNDROME","338433"
"1202","PRECOCIOUS PUBERTY, CENTRAL, 2","7681"
"1203","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 4","7284"
"1204","SPASTIC PARAPLEGIA, INTELLECTUAL DISABILITY, NYSTAGMUS, AND OBESITY","57498"
"1205","LEUKODYSTROPHY, PROGRESSIVE, EARLY CHILDHOOD-ONSET","55331"
"1206","MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 13","338567"
"1207","MECKEL SYNDROME, TYPE 6","57545"
"1208","JOUBERT SYNDROME 9","57545"
"1209","MAST SYNDROME","51324"
"1210","ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 10","285848"
"1211","PARKINSONISM-DYSTONIA, INFANTILE, 2","6571"
"1212","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 13","87178"
"1213","DEAFNESS, AUTOSOMAL RECESSIVE 70","87178"
"1214","IMMUNODEFICIENCY, COMMON VARIABLE, 10","4791"
"1215","LETHAL CONGENITAL CONTRACTURE SYNDROME 3","23396"
"1216","RENAL CELL CARCINOMA, Xp11-ASSOCIATED","7030"
"1217","EOSINOPHIL PEROXIDASE DEFICIENCY","8288"
"1218","DIABETES MELLITUS, NONINSULIN-DEPENDENT, 5","9882"
"1219","MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME 1","5296"
"1220","PRETERM PREMATURE RUPTURE OF THE MEMBRANES","871"
"1221","OSTEOGENESIS IMPERFECTA, TYPE X","871"
"1222","NIGHT BLINDNESS, CONGENITAL STATIONARY, AUTOSOMAL DOMINANT 2","5158"
"1223","RETINITIS PIGMENTOSA 40","5158"
"1224","ALPORT SYNDROME, X-LINKED","1287"
"1225","HYPERPHOSPHATASIA WITH MENTAL RETARDATION SYNDROME 4","93210"
"1226","ANDROGEN INSENSITIVITY SYNDROME","367"
"1227","HYPOSPADIAS 1, X-LINKED","367"
"1228","ANDROGEN INSENSITIVITY, PARTIAL","367"
"1229","SPINAL AND BULBAR MUSCULAR ATROPHY, X-LINKED 1","367"
"1230","SCHAAF-YANG SYNDROME","54551"
"1231","HYPOGONADOTROPIC HYPOGONADISM 24 WITHOUT ANOSMIA","2488"
"1232","DEAFNESS, AUTOSOMAL RECESSIVE 29","23562"
"1233","TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 5","2658"
"1234","ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA","54840"
"1235","DIAPHANOSPONDYLODYSOSTOSIS","168667"
"1236","GLIOMA SUSCEPTIBILITY 1","2064"
"1237","GLIOMA SUSCEPTIBILITY 1","7157"
"1238","GLIOMA SUSCEPTIBILITY 1","3417"
"1239","GASTRIC CANCERGASTRIC CANCER, INTESTINAL, INCLUDED","2064"
"1240","GASTRIC CANCERGASTRIC CANCER, INTESTINAL, INCLUDED","843"
"1241","GASTRIC CANCERGASTRIC CANCER, INTESTINAL, INCLUDED","324"
"1242","GASTRIC CANCERGASTRIC CANCER, INTESTINAL, INCLUDED","1316"
"1243","GASTRIC CANCERGASTRIC CANCER, INTESTINAL, INCLUDED","2263"
"1244","GASTRIC CANCERGASTRIC CANCER, INTESTINAL, INCLUDED","5290"
"1245","GASTRIC CANCERGASTRIC CANCER, INTESTINAL, INCLUDED","3659"
"1246","GASTRIC CANCERGASTRIC CANCER, INTESTINAL, INCLUDED","4595"
"1247","ATRIOVENTRICULAR SEPTAL DEFECT, SUSCEPTIBILITY TO, 2","78987"
"1248","GLUTATHIONE SYNTHETASE DEFICIENCY OF ERYTHROCYTES, HEMOLYTIC ANEMIADUE TO","2937"
"1249","GLUTATHIONE SYNTHETASE DEFICIENCY","2937"
"1250","ALVEOLAR CAPILLARY DYSPLASIA WITH MISALIGNMENT OF PULMONARY VEINS","2294"
"1251","INFLUENZA, SEVERE, SUSCEPTIBILITY TO","10410"
"1252","TENORIO SYNDROME","54941"
"1253","GHOSAL HEMATODIAPHYSEAL DYSPLASIA","6916"
"1254","BLEEDING DISORDER, PLATELET-TYPE, 14","6916"
"1255","RETINITIS PIGMENTOSA","5949"
"1256","RETINITIS PIGMENTOSA","7401"
"1257","RETINITIS PIGMENTOSA","157657"
"1258","RETINITIS PIGMENTOSA","23746"
"1259","RETINITIS PIGMENTOSA","6094"
"1260","RETINITIS PIGMENTOSA","1259"
"1261","RETINITIS PIGMENTOSA","1406"
"1262","RETINITIS PIGMENTOSA","5148"
"1263","RETINITIS PIGMENTOSA","84100"
"1264","RETINITIS PIGMENTOSA","9227"
"1265","RETINITIS PIGMENTOSA 66","5949"
"1266","CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIe","91949"
"1267","FANCONI ANEMIA, COMPLEMENTATION GROUP O","5889"
"1268","BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 3","5889"
"1269","MENTAL RETARDATION, AUTOSOMAL RECESSIVE 27","55180"
"1270","SIFRIM-HITZ-WEISS SYNDROME","1108"
"1271","MICROCEPHALY 13, PRIMARY, AUTOSOMAL RECESSIVE","1062"
"1272","NEPHROTIC SYNDROME, TYPE 12","9688"
"1273","SPONDYLOMETAPHYSEAL DYSPLASIA, SEDAGHATIAN TYPE","2879"
"1274","CATARACT 47","387700"
"1275","MYOCLONUS, FAMILIAL CORTICAL","8996"
"1276","PONTOCEREBELLAR HYPOPLASIA, TYPE 11","55773"
"1277","2,4-@DIENOYL-CoA REDUCTASE DEFICIENCY","133686"
"1278","FAMILIAL MEDITERRANEAN FEVER, AUTOSOMAL DOMINANT","4210"
"1279","FAMILIAL MEDITERRANEAN FEVER","4210"
"1280","HYPOTHYROIDISM, CENTRAL, AND TESTICULAR ENLARGEMENT","3547"
"1281","OBESITYLEANNESS, INCLUDED","5468"
"1282","OBESITYLEANNESS, INCLUDED","51738"
"1283","OBESITYLEANNESS, INCLUDED","4160"
"1284","OBESITYLEANNESS, INCLUDED","7350"
"1285","OBESITYLEANNESS, INCLUDED","9607"
"1286","OBESITYLEANNESS, INCLUDED","5443"
"1287","OBESITYLEANNESS, INCLUDED","181"
"1288","OBESITYLEANNESS, INCLUDED","9672"
"1289","OBESITYLEANNESS, INCLUDED","154"
"1290","OBESITYLEANNESS, INCLUDED","6492"
"1291","OBESITYLEANNESS, INCLUDED","7352"
"1292","OBESITYLEANNESS, INCLUDED","5167"
"1293","OBESITYLEANNESS, INCLUDED","133522"
"1294","OBESITYLEANNESS, INCLUDED","155"
"1295","OBESITYLEANNESS, INCLUDED","8431"
"1296","LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 3","5468"
"1297","LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 3","5506"
"1298","CAROTID INTIMAL MEDIAL THICKNESS 1","5468"
"1299","PREMATURE OVARIAN FAILURE 6","344018"
"1300","RAINE SYNDROME","56975"
"1301","HEMOCHROMATOSIS, TYPE 3","7036"
"1302","SPONDYLOEPIMETAPHYSEAL DYSPLASIA, GENEVIEVE TYPE","54187"
"1303","CHONDRODYSPLASIA WITH PLATYSPONDYLY, DISTINCTIVE BRACHYDACTYLY,HYDROCEPHALY, AND MICROPHTHALMIA","10013"
"1304","MULIBREY NANISM","4591"
"1305","ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC),SUSCEPTIBILITY TO, 1","81622"
"1306","ISCHIOCOXOPODOPATELLAR SYNDROME","9496"
"1307","MUSCULAR DYSTROPHY, CONGENITAL, WITH CATARACTS AND INTELLECTUALDISABILITY","51763"
"1308","WARBURG MICRO SYNDROME 3","22931"
"1309","ACETYLATION, SLOW","10"
"1310","LEFT VENTRICULAR NONCOMPACTION 8","63976"
"1311","NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE III","8518"
"1312","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 24","79731"
"1313","MECKEL SYNDROME, TYPE 1","54903"
"1314","BARDET-BIEDL SYNDROME 13","54903"
"1315","JOUBERT SYNDROME 28","54903"
"1316","BECKWITH-WIEDEMANN SYNDROME","3784"
"1317","BECKWITH-WIEDEMANN SYNDROME","1028"
"1318","BECKWITH-WIEDEMANN SYNDROME","10984"
"1319","BECKWITH-WIEDEMANN SYNDROME","283120"
"1320","BECKWITH-WIEDEMANN SYNDROME","3481"
"1321","BECKWITH-WIEDEMANN SYNDROME","64324"
"1322","LONG QT SYNDROME 1","3784"
"1323","JERVELL AND LANGE-NIELSEN SYNDROME 1","3784"
"1324","ATRIAL FIBRILLATION, FAMILIAL, 3","3784"
"1325","SHORT QT SYNDROME 2","3784"
"1326","PAGET DISEASE OF BONE 5, JUVENILE-ONSET","4982"
"1327","SPINOCEREBELLAR ATAXIA 35","343641"
"1328","CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 3","120"
"1329","ATELOSTEOGENESIS, TYPE I","2317"
"1330","ATELOSTEOGENESIS, TYPE III","2317"
"1331","BOOMERANG DYSPLASIA","2317"
"1332","LARSEN SYNDROME","2317"
"1333","SPONDYLOCARPOTARSAL SYNOSTOSIS SYNDROME","2317"
"1334","CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 11","70"
"1335","ATRIAL SEPTAL DEFECT 5","70"
"1336","CARDIOMYOPATHY, DILATED, 1R","70"
"1337","MYOPATHY, MYOFIBRILLAR, 5","2318"
"1338","MYOPATHY, DISTAL, 4","2318"
"1339","CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 26","2318"
"1340","FANCONI-BICKEL SYNDROME","6514"
"1341","TOWNES-BROCKS SYNDROME 1","6299"
"1342","EPILEPSY, PROGRESSIVE MYOCLONIC, 3, WITH OR WITHOUT INTRACELLULARINCLUSIONS","154881"
"1343","CEROID LIPOFUSCINOSIS, NEURONAL, 2","1200"
"1344","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 7","1200"
"1345","CATARACT 4, MULTIPLE TYPES","1421"
"1346","CILIARY DYSKINESIA, PRIMARY, 15","55036"
"1347","PICK DISEASE OF BRAIN","4137"
"1348","PICK DISEASE OF BRAIN","5663"
"1349","PARKINSON-DEMENTIA SYNDROMESUPRANUCLEAR PALSY, PROGRESSIVE, 1, ATYPICAL, INCLUDED","4137"
"1350","FRONTOTEMPORAL DEMENTIA","4137"
"1351","FRONTOTEMPORAL DEMENTIA","5663"
"1352","SUPRANUCLEAR PALSY, PROGRESSIVE, 1","4137"
"1353","COLORECTAL CANCER","201163"
"1354","COLORECTAL CANCER","7157"
"1355","COLORECTAL CANCER","2261"
"1356","COLORECTAL CANCER","8313"
"1357","COLORECTAL CANCER","324"
"1358","COLORECTAL CANCER","1630"
"1359","COLORECTAL CANCER","6714"
"1360","COLORECTAL CANCER","1499"
"1361","COLORECTAL CANCER","701"
"1362","COLORECTAL CANCER","207"
"1363","COLORECTAL CANCER","4893"
"1364","COLORECTAL CANCER","5290"
"1365","COLORECTAL CANCER","2033"
"1366","COLORECTAL CANCER","10395"
"1367","BIRT-HOGG-DUBE SYNDROME","201163"
"1368","PNEUMOTHORAX, PRIMARY SPONTANEOUS","201163"
"1369","POTOCKI-LUPSKI SYNDROME","201163"
"1370","DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, MENTAL RETARDATION, ANDSEIZURES SYNDROME","57465"
"1371","MYOCLONIC EPILEPSY, FAMILIAL INFANTILE","57465"
"1372","DEAFNESS, AUTOSOMAL RECESSIVE 86","57465"
"1373","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 16","57465"
"1374","DEAFNESS, AUTOSOMAL DOMINANT 65","57465"
"1375","NEPHROTIC SYNDROME, TYPE 8","396"
"1376","SPERMATOGENIC FAILURE 25","56154"
"1377","3MC SYNDROME 3","10584"
"1378","DYSTONIA 26, MYOCLONIC","79734"
"1379","CATARACT 2, MULTIPLE TYPES","1420"
"1380","HYPERORNITHINEMIA-HYPERAMMONEMIA-HOMOCITRULLINURIA SYNDROME","10166"
"1381","NEUROPATHY, HEREDITARY MOTOR AND SENSORY, TYPE VIA","9927"
"1382","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL DOMINANT, TYPE 2A2A","9927"
"1383","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL RECESSIVE, TYPE 2A2B","9927"
"1384","LEUKODYSTROPHY, HYPOMYELINATING, 7, WITH OR WITHOUT OLIGODONTIAAND/OR HYPOGONADOTROPIC HYPOGONADISM","11128"
"1385","LEUKODYSTROPHY, HYPOMYELINATING, 7, WITH OR WITHOUT OLIGODONTIAAND/OR HYPOGONADOTROPIC HYPOGONADISM","55703"
"1386","IMMUNODEFICIENCY 51","23765"
"1387","ACERULOPLASMINEMIAHYPOCERULOPLASMINEMIA, INCLUDED","1356"
"1388","WERNER SYNDROME","7486"
"1389","CATARACT 39, MULTIPLE TYPES","1419"
"1390","BIRBECK GRANULE DEFICIENCY","50489"
"1391","HOLOCARBOXYLASE SYNTHETASE DEFICIENCY","3141"
"1392","RENAL TUBULAR ACIDOSIS, DISTAL, WITH PROGRESSIVE NERVE DEAFNESS","525"
"1393","OSTEOPETROSIS, AUTOSOMAL RECESSIVE 2","8600"
"1394","SPERMATOGENIC FAILURE 22","254528"
"1395","HERMANSKY-PUDLAK SYNDROME 3","84343"
"1396","WILMS TUMOR 5","11281"
"1397","HYPERPHENYLALANINEMIA, BH4-DEFICIENT, A","5805"
"1398","MITOCHONDRIAL DNA DEPLETION SYNDROME 9 (ENCEPHALOMYOPATHIC TYPE WITHMETHYLMALONIC ACIDURIA)","8802"
"1399","FANCONI ANEMIA, COMPLEMENTATION GROUP J","83990"
"1400","MENTAL RETARDATION, X-LINKED, SYNDROMIC, HOUGE TYPE","22866"
"1401","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 3","55135"
"1402","PYRUVATE DEHYDROGENASE PHOSPHATASE DEFICIENCY","54704"
"1403","MENTAL RETARDATION, X-LINKED, WITH CEREBELLAR HYPOPLASIA AND DISTINCTIVEFACIAL APPEARANCE","4983"
"1404","SHORT SYNDROME","5295"
"1405","AGAMMAGLOBULINEMIA 7, AUTOSOMAL RECESSIVE","5295"
"1406","IMMUNODEFICIENCY 36","5295"
"1407","BLEEDING DISORDER, PLATELET-TYPE, 16","3674"
"1408","BLEEDING DISORDER, PLATELET-TYPE, 16","3690"
"1409","GLANZMANN THROMBASTHENIA","3674"
"1410","GLANZMANN THROMBASTHENIA","3690"
"1411","MULTIPLE ENDOCRINE NEOPLASIA, TYPE I","4221"
"1412","LETHAL CONGENITAL CONTRACTURE SYNDROME 7","8506"
"1413","DEAFNESS, CONGENITAL, WITH INNER EAR AGENESIS, MICROTIA, ANDMICRODONTIA","2248"
"1414","THROMBOCYTOPENIA 4","54205"
"1415","FANCONI ANEMIA, COMPLEMENTATION GROUP D2","2177"
"1416","HEPATOCELLULAR CARCINOMA","7157"
"1417","HEPATOCELLULAR CARCINOMA","5157"
"1418","HEPATOCELLULAR CARCINOMA","324"
"1419","HEPATOCELLULAR CARCINOMA","841"
"1420","HEPATOCELLULAR CARCINOMA","1499"
"1421","HEPATOCELLULAR CARCINOMA","8312"
"1422","HEPATOCELLULAR CARCINOMA","4233"
"1423","HEPATOCELLULAR CARCINOMA","5290"
"1424","HEPATOCELLULAR CARCINOMA","3482"
"1425","LI-FRAUMENI SYNDROME","7157"
"1426","ADRENOCORTICAL CARCINOMA, HEREDITARY","7157"
"1427","PANCREATIC CANCER","7157"
"1428","PANCREATIC CANCER","6794"
"1429","PANCREATIC CANCER","4089"
"1430","PANCREATIC CANCER","3845"
"1431","PAPILLOMA OF CHOROID PLEXUS","7157"
"1432","NASOPHARYNGEAL CARCINOMA","7157"
"1433","BASAL CELL CARCINOMA, SUSCEPTIBILITY TO, 7","7157"
"1434","ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 1","9370"
"1435","BLEEDING DISORDER, PLATELET-TYPE, 9","3673"
"1436","MENTAL RETARDATION, AUTOSOMAL RECESSIVE 38","8924"
"1437","KBG SYNDROME","29123"
"1438","HYPOTONIA, INFANTILE, WITH PSYCHOMOTOR RETARDATION","51244"
"1439","TETRAAMELIA SYNDROME 1","7473"
"1440","TETRAAMELIA SYNDROME 1","101929777"
"1441","DANON DISEASE","3920"
"1442","FOLATE MALABSORPTION, HEREDITARY","113235"
"1443","THROMBOPHILIA DUE TO THROMBIN DEFECT","2162"
"1444","THROMBOPHILIA DUE TO THROMBIN DEFECT","3026"
"1445","THROMBOPHILIA DUE TO THROMBIN DEFECT","2147"
"1446","THROMBOPHILIA DUE TO THROMBIN DEFECT","4524"
"1447","FACTOR XIII, A SUBUNIT, DEFICIENCY OF","2162"
"1448","ANIRIDIA 3","54765"
"1449","VERTEBRAL, CARDIAC, RENAL, AND LIMB DEFECTS SYNDROME 1","23498"
"1450","CATARACT 44","4047"
"1451","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 15","123263"
"1452","NORTH AMERICAN INDIAN CHILDHOOD CIRRHOSIS","84916"
"1453","SPASTIC PARAPLEGIA, OPTIC ATROPHY, AND NEUROPATHY","64837"
"1454","PITT-HOPKINS-LIKE SYNDROME 2","9378"
